0,20.6,14.4,42.8,46.5,19.6,Male
1,13.3,11.1,27.8,32.3,11.3,Male
0,16.7,14.3,32.3,37,14.7,Female
1,9.8,8.9,20.4,23.9,8.8,Female
0,15.6,14.1,31,34.5,13.8,Female
1,9.1,8.1,18.5,21.6,7.7,Female
0,14.1,10.5,29.1,31.6,13.1,Male
1,11.1,9.9,23.8,27.1,9.8,Male
1,12.8,12.2,27.9,31.9,11.5,Female
0,19.9,16.6,39.4,43.9,17.9,Female
0,17.5,14.7,33.3,37.6,14.6,Female
0,20.1,17.2,39.8,44.1,18.6,Female
0,19.9,17.9,40.1,46.4,17.9,Female
1,21.3,15.7,47.1,54.6,20,Male
1,16.4,13,35.7,41.8,15.2,Male
0,19.7,16.7,39.9,43.6,18.2,Female
1,12.8,12.2,26.7,31.1,11.1,Female
0,14,11.5,29.2,32.2,13.1,Male
0,17.4,12.8,36.1,39.5,16.2,Male
0,10.2,8.2,20.2,22.2,9,Male
1,15.7,12.6,35.8,40.3,14.5,Male
1,15,14.2,32.8,37.4,14,Female
0,18.8,13.8,39.2,43.3,17.9,Male
0,17.6,14,34,38.6,15.5,Female
0,15.4,11.1,30.2,33.6,13.5,Male
1,11.2,10,22.8,26.9,9.4,Female
0,18,14.9,34.7,39.5,15.7,Female
1,17.1,12.6,36.4,42,15.1,Male
1,9,8.5,19.3,22.7,7.7,Female
0,18.9,16.7,36.3,41.7,15.3,Female
1,10.4,9.7,21.7,25.4,8.3,Female
0,13.7,11,27.5,30.5,12.2,Male
0,19.4,14.4,39.8,44.3,17.9,Male
1,16.6,13.5,38.1,43.4,14.9,Male
1,12.2,10.8,27.3,31.6,10.9,Male
1,15.8,15,34.5,40.3,15.3,Female
0,14.2,10.7,27.8,30.9,12.7,Male
1,12,10.7,24.6,28.9,10.5,Female
0,14.3,12.2,28.1,31.8,12.5,Female
1,8.1,6.7,16.1,19,7,Male
1,13.1,10.6,28.2,32.3,11,Male
0,13.4,10.1,26.6,29.6,12,Male
1,11.9,11.4,26,30.1,10.9,Female
0,17.9,12.9,36.9,40.9,16.5,Male
1,9.1,8.2,19.2,22.2,7.7,Female
0,17.1,14.5,33.1,37.2,14.6,Female
1,16.2,13.3,36,41.7,15.4,Male
1,9.5,8.2,19.6,22.4,7.8,Female
0,14.6,11.3,29.9,33.5,12.8,Male
0,11.4,9.2,21.7,24.1,9.7,Female
0,13.2,11,27.1,30.4,12.2,Male
0,17.5,12.7,34.6,38.4,16.1,Male
0,12.5,9.4,24.2,27,11.2,Male
0,18.4,13.4,37.9,42.2,17.7,Male
1,16.4,14,34.2,39.8,15.2,Female
0,15.7,12.2,31.7,34.2,14.2,Male
0,14.2,10.6,28.7,31.7,12.9,Male
1,11.6,11.4,23.7,27.7,10,Female
1,19.3,13.5,41.6,47.4,17.8,Male
1,9.8,8,20.3,23,8.2,Male
1,13.4,11.8,28.4,32.7,11.7,Female
1,19.2,16.5,40.9,47.9,18.1,Female
1,15.4,13.3,32.4,37.6,13.8,Female
1,17.1,12.7,36.7,41.9,15.6,Male
0,15.7,13.6,31,34.8,13.8,Female
1,17.7,13.6,38.7,44.5,16,Male
0,15.1,11.4,30.2,33.3,14,Male
1,12.8,10.2,27.2,31.8,10.9,Male
0,12.6,11.5,25,28.1,11.5,Female
0,23.1,15.7,47.6,52.8,21.6,Male
1,14.3,11.6,31.3,35.5,12.7,Male
0,21.9,17.2,42.6,47.4,19.5,Female
0,16.3,11.6,31.6,34.2,14.5,Male
1,15.2,14.3,33.9,38.5,14.7,Female
1,13.1,10.9,28.3,32.4,11.2,Male
1,15.1,13.5,31.9,37,13.8,Female
0,18.4,15.7,36.5,41.6,16.4,Female
0,12.9,11.2,25.8,29.1,11.9,Female
0,18,13.4,36.7,41.3,17.1,Male
1,11,9.8,22.5,25.7,8.2,Female
1,13.9,13,30,34.9,13.1,Female
0,21.4,18,41.2,46.2,18.7,Female
0,21,15,42.9,47.2,19.4,Male
0,18,16.3,37.9,43,17.2,Female
1,19.7,15.3,41.9,48.5,17.8,Male
1,13,11.4,27.3,31.8,11.3,Female
0,14.7,11.1,29,32.1,13.1,Male
1,16.8,12.8,36.2,41.8,14.9,Male
0,18.6,13.4,37.8,41.9,17.3,Male
0,20.5,17.5,40,45.5,19.2,Female
1,12.9,11,26.8,30.9,11.4,Male
1,12.8,10.9,27.4,31.5,11,Male
1,15,11.9,32.5,37.2,13.6,Male
1,10.1,9.3,20.9,24.4,8.4,Female
1,10.3,9.5,21.3,24.7,8.9,Female
1,16.3,12.7,35.6,40.9,14.9,Male
1,13.2,12.2,27.9,32.1,11.5,Female
0,18.6,14.5,34.7,39.4,15,Female
1,19.8,14.2,43.2,49.7,18.6,Male
1,9.6,7.9,20.1,23.1,8.2,Male
0,23.1,20.2,46.2,52.5,21.1,Female
0,18.8,13.4,37.2,41.1,17.5,Male
0,14.1,10.7,28.7,31.9,13.3,Male
1,11.5,11,24.7,29.2,10.1,Female
0,19.4,14.1,39.1,43.2,17.8,Male
0,16.2,11.8,32.3,35.3,14.7,Male
0,14.2,11.3,29.2,32.2,13.5,Male
1,12.6,10,27.7,31.7,11.4,Male
1,11.8,9.6,24.2,27.8,9.7,Male
0,20.3,16,39.4,44.1,18,Female
1,17.9,14.1,39.7,44.6,16.8,Male
0,23,16.8,47.2,52.1,21.5,Male
1,17.2,13.5,37.6,43.9,16.1,Male
1,14.6,11.3,31.9,36.4,13.7,Male
1,15.2,12.1,32.3,36.7,13.6,Male
1,16.9,13.2,37.3,42.7,15.6,Male
1,15.5,13.8,33.4,38.7,14.7,Female
0,18.5,14.6,37,42,16.6,Female
0,14.7,13.2,29.6,33.4,12.9,Female
1,15.9,12.7,34,38.9,14.2,Male
1,15,13.8,31.7,36.9,14,Female
0,18.3,15.7,35.1,40.5,16.1,Female
0,15.1,11.5,30.9,34,13.9,Male
1,13.7,12.5,28.6,33.8,11.9,Female
0,19.1,16.3,37.9,42.6,17.2,Female
0,20.6,17.5,41.5,46.2,19.2,Female
0,21.3,18.4,43.8,48.4,20,Female
0,10.7,8.6,20.7,22.7,9.2,Male
0,17.5,12,34.4,37.3,15.3,Male
1,13.1,11.5,27.6,32.6,11.1,Female
1,18.8,15.8,42.1,49,17.8,Male
0,19.1,16,37.8,42.3,16.8,Female
0,12.7,10.4,26,28.8,12.1,Male
0,17.5,14.3,34.5,39.6,15.6,Female
0,14,11.9,27,31.4,12.6,Female
0,20,16.7,40.4,45.1,17.7,Female
1,15.7,13.9,33.6,38.5,14.1,Female
0,18.6,13.5,36.9,40.2,17,Male
1,14.7,12.5,30.1,34.7,12.5,Female
0,16.1,13.7,31.4,36.1,13.9,Female
0,16.2,14,31.6,35.6,13.7,Female
0,18.4,15.5,35.6,40,15.9,Female
1,19.3,13.8,40.9,46.5,16.8,Male
1,19.8,14.3,42.4,48.9,18.3,Male
1,15,11.5,32.4,37,13.4,Male
0,10.7,9.7,21.4,24,9.8,Female
1,7.2,6.5,14.7,17.1,6.1,Female
0,21.5,15.5,45.5,49.7,20.9,Male
0,17.5,14.4,34.5,39,16,Female
0,17.1,12.6,35,38.9,15.7,Male
0,18.8,15.2,35.8,40.5,16.6,Female
1,17.4,16.9,38.2,44.1,16.6,Female
0,12.5,9.4,23.2,26,10.8,Male
1,17.5,16.7,38.6,44.5,17,Female
0,21.7,17.1,41.7,47.2,19.6,Female
0,20.9,16.5,39.9,44.7,17.5,Female
1,12.6,12.2,26.1,31.6,11.2,Female
0,16.1,13.6,31.6,36,14,Female
0,14,12.8,28.8,32.4,12.7,Female
1,15.6,14.7,33.9,39.5,14.3,Female
1,18,13.7,39.2,44.4,16.2,Male
0,21.9,15.7,45.4,51,21.1,Male
0,12.5,10,24.1,27,10.9,Female
1,9.2,7.8,19,22.4,7.7,Male
1,11.6,11,24.6,28.5,10.4,Female
1,15.6,13.9,32.8,37.9,13.4,Female
0,9.1,6.9,16.7,18.6,7.4,Male
0,21.6,15.4,45.7,49.7,20.6,Male
1,13.9,11.1,29.2,33.3,12.1,Male
1,11.7,10.6,24.9,28.5,10.4,Female
0,11.4,9,22.7,24.8,10.1,Male
1,15.4,11.8,33,37.5,13.6,Male
1,14.9,13.2,30.1,35.6,12,Female
1,10.8,9,23,26.5,9.8,Male
1,15.1,13.8,31.7,36.6,13,Female
0,21.6,14.8,43.4,48.2,20.1,Male
1,11.6,9.1,24.5,28.4,10.4,Male
0,14.1,10.4,28.9,31.8,13.5,Male
0,17.8,12.5,36,39.8,16.7,Male
1,16.7,16.1,36.6,41.9,15.4,Female
1,10.8,9.5,22.5,26.3,9.1,Female
1,15.1,13.3,31.8,36.3,13.5,Female
1,15,10.9,31.4,36.4,13.2,Male
1,16.1,11.6,33.8,39,14.4,Male
1,15.3,14.2,32.6,38.3,13.8,Female
0,15,12.3,30.1,33.3,14,Female
1,12.8,11.7,27.1,31.2,11.9,Female
1,16.1,12.8,34.9,40.7,15.7,Male
0,14.9,13,30,33.7,13.3,Female
1,11.8,10.5,25.2,29.3,10.3,Male
0,15.6,13.5,31.2,35.1,14.1,Female
0,18.2,13.7,38.8,42.7,17.2,Male
0,20.1,13.7,40.6,44.5,18,Male
0,22.1,15.8,44.6,49.6,20.5,Male
0,22.5,17.2,43,48.7,19.8,Female
1,12.3,11,26.8,31.5,11.4,Male
1,12,11.1,25.4,29.2,11,Female
1,8.8,7.7,18.1,20.8,7.4,Male
1,16.2,15.2,34.5,40.1,13.9,Female
0,15.6,14,31.6,35.3,13.8,Female
